População,Gerações,Cruzamento,TaxaCruz,TaxaMut,Elitismo,Melhor,Média,Desvio,Média das Gerações,Desvio das Gerações
20,20,BLXab,60%,5%,False,0.0002908891586952,0.103626678938244,0.1758879898875361,0.7464631851209788,0.8353491889381696
20,20,BLXab,60%,5%,True,7.001333677125743e-05,0.0221930191030852,0.0389425449882469,0.2702608946038095,0.6111729773323824
20,20,BLXab,60%,10%,False,0.0003467349605377,0.0826904086925931,0.1363870389109762,0.8385619420927636,1.2735244786926392
20,20,BLXab,60%,10%,True,8.23232776139271e-05,0.0161537187791336,0.0274786094078086,1.1861797624582773,1.5589036009646835
20,20,BLXab,80%,1%,False,5.11710023376466e-06,0.0035567834235522,0.0056895305657858,0.4055927740357852,0.4106299637392115
20,20,BLXab,80%,1%,True,9.219234198276638e-07,0.0063186960093152,0.0208927329212781,0.210317501484459,0.3251789288176532
20,20,BLXab,80%,5%,False,1.6241433094865698e-05,0.013920612231007,0.021197099544005,0.2769681580648207,0.7476260980975631
20,20,BLXab,80%,5%,True,1.753612608457189e-06,0.0139113915262197,0.0262570645567154,0.2338313996347377,0.6273653460318875
20,20,BLXab,80%,10%,False,2.601225911336158e-05,0.0078569155449259,0.0119854007774758,0.4373375101418025,0.5945106684421697
20,20,BLXab,80%,10%,True,1.2141423622047398e-06,0.0036284516005715,0.0072233716958014,1.44109042441972,1.4343987513589576
20,20,BLXab,100%,1%,False,1.4927559677246904e-07,0.0553362524132439,0.2387259440244985,0.4869221589442427,0.7745513670954722
20,20,BLXab,100%,1%,True,2.12449622383204e-06,0.0008615425529018,0.0027985245452595,0.3556033306409567,0.586927794278688
20,20,BLXab,100%,5%,False,1.984971252699808e-06,0.002356582993655,0.005830642526489,0.6149290025794828,0.9821538616388656
20,20,BLXab,100%,5%,True,8.17283262977142e-06,0.1313290620137762,0.5617937998981282,0.4015321387334234,0.9053267882307992
20,20,BLXab,100%,10%,False,1.5816192732831524e-05,0.003252753203131,0.0066718788558963,0.4296416876800391,0.9305560197411415
20,20,BLXab,100%,10%,True,1.067247093233803e-05,0.003781246813499,0.0090814306840739,0.6937949243189078,1.0623294267398748
20,60,Media,60%,1%,False,0.0052285667760476,0.0581128730705308,0.044655888230489,0.2504021777351775,0.6279733237683688
20,60,Media,60%,1%,True,0.0010097542512608,0.0893039299806877,0.1939746370853772,0.0690289157259369,0.2023097607035278
20,60,Media,60%,5%,False,0.0015233123395756,0.0472073958172713,0.0433571701280354,0.1560020569534486,0.4777630256300759
20,60,Media,60%,5%,True,0.0004209329703397,0.0488391916069887,0.0512635746618051,0.1603974167563571,0.4070081880933555
20,60,Media,60%,10%,False,0.0023247664074905,0.0225259642588219,0.0141622177120497,0.1880094581390063,0.3060903885501723
20,60,Media,60%,10%,True,0.0009067395645776,0.035297448162755,0.0333653867524273,0.1177014531219074,0.461556868344147
20,60,Media,80%,1%,False,0.0052694626851104,0.1728657468428601,0.2672598578622716,0.1228061271681976,0.4446866047152663
20,60,Media,80%,1%,True,1.3784507164604776e-05,0.0466684260572823,0.066124994992936,0.1476147116050379,0.5446216005967222
20,60,Media,80%,5%,False,0.0042800085717868,0.0504983291984015,0.0440700709326921,0.3197610521952733,0.3884250351273887
20,60,Media,80%,5%,True,0.0001307743788001,0.0252721111362876,0.0301647669555161,0.2944738102986168,0.5180494979611392
20,60,Media,80%,10%,False,7.256371031916231e-05,0.025613431969105,0.0461672946899225,0.1313968165544311,0.2078324386299326
20,60,Media,80%,10%,True,0.000679201181978,0.020386744853078,0.0231098787495381,0.0986340349325997,0.3700864519686626
20,60,Media,100%,1%,False,0.0013452417722352,0.1646425792651885,0.2701058517815011,0.0984987323978159,0.5616071175639943
20,60,Media,100%,1%,True,0.0002488292121971,0.0908909845390938,0.1444884575487576,0.5531585625500559,0.4138449957573758
20,60,Media,100%,5%,False,8.805022183810962e-06,0.0615964404509108,0.0675743599617657,0.3653931475015139,0.2827074895365353
20,60,Media,100%,5%,True,1.4856039940003283e-05,0.0313169279051856,0.0506407941105193,0.0796169330541401,0.04317028967292
20,60,Media,100%,10%,False,0.0004327183744377,0.0361599179875532,0.0357922904500098,0.1653432477375151,0.339577287882491
20,60,Media,100%,10%,True,0.0008193248316108,0.0235855602074924,0.0232648881047439,0.1140866732887394,0.2009814450656975
20,60,BLXab,60%,1%,False,5.049294315995212e-13,2.666132497699536e-05,7.311411373277171e-05,0.1887135772691595,0.5201818779092381
